,0,1,2,3,4,5
28,b'miles1000.col',44,632.6287496089935,3,"[0.2884514331817627, 17.88349962234497, 600.0007829666138]","[45, 44, 0]"
29,b'miles1500.col',73,621.4285366535187,2,"[0.7361001968383789, 600.000777721405]","[73, 0]"
30,b'miles250.col',8,601.8113868236542,2,"[0.03693246841430664, 600.0008275508881]","[8, 0]"
31,b'miles500.col',20,855.5034790039062,4,"[0.06986761093139648, 84.73530626296997, 166.99774146080017, 600.0007784366608]","[22, 21, 20, 0]"
32,b'miles750.col',33,605.2813534736633,2,"[0.17277073860168457, 600.0007908344269]","[33, 0]"
33,b'mulsol.i.1.col',49,614.5093238353729,2,"[1.3103303909301758, 600.0018861293793]","[49, 0]"
34,b'mulsol.i.2.col',31,622.3700349330902,2,"[0.873340368270874, 600.0008134841919]","[31, 0]"
35,b'mulsol.i.3.col',31,622.3016276359558,2,"[0.7296137809753418, 600.0005292892456]","[31, 0]"
36,b'mulsol.i.4.col',31,622.5279698371887,2,"[0.7161374092102051, 600.0010764598846]","[31, 0]"
37,b'mulsol.i.5.col',31,621.5859677791595,2,"[0.7518348693847656, 600.001739025116]","[31, 0]"
38,b'myciel2.col',3,0.013958215713500977,2,"[0.0, 0.0]","[3, 0]"
39,b'myciel3.col',4,0.014971733093261719,2,"[0.0, 0.0014965534210205078]","[4, 0]"
40,b'myciel4.col',5,0.19213604927062988,2,"[0.001996278762817383, 0.1562049388885498]","[5, 0]"
41,b'myciel5.col',6,600.1295697689056,2,"[0.007487297058105469, 600.0003106594086]","[6, 0]"
42,b'myciel6.col',7,600.9110481739044,2,"[0.03842663764953613, 600.0002789497375]","[7, 0]"
43,b'myciel7.col',8,609.158230304718,2,"[0.26399683952331543, 600.0005049705505]","[8, 0]"
44,b'queen10_10.col',12,916.5798871517181,5,"[0.05988717079162598, 0.02644968032836914, 0.1279146671295166, 313.23054909706116, 600.0008161067963]","[15, 14, 13, 12, 0]"
45,b'queen11_11.col',14,608.4388518333435,4,"[0.07685446739196777, 0.037927865982055664, 4.101202011108398, 600.0007798671722]","[16, 15, 14, 0]"
46,b'queen12_12.col',15,662.648796081543,5,"[0.11109066009521484, 0.09791398048400879, 9.454025745391846, 45.55542349815369, 600.0008535385132]","[18, 17, 16, 15, 0]"
47,b'queen13_13.col',21,606.9527022838593,2,"[0.1490333080291748, 600.0016024112701]","[21, 0]"
48,b'queen14_14.col',18,625.5152571201324,5,"[0.1966252326965332, 0.14857268333435059, 3.044384002685547, 5.5215020179748535, 600.0019526481628]","[21, 20, 19, 18, 0]"
49,b'queen15_15.col',19,625.7574999332428,3,"[0.5185120105743408, 7.562619924545288, 600.0028522014618]","[20, 19, 0]"
50,b'queen16_16.col',21,637.0067567825317,4,"[0.3692972660064697, 6.636382102966309, 0.2611420154571533, 600.0034310817719]","[23, 22, 21, 0]"
51,b'queen5_5.col',5,0.0758514404296875,2,"[0.0029935836791992188, 0.001995086669921875]","[6, 5]"
52,b'queen6_6.col',7,0.5270054340362549,4,"[0.008484363555908203, 0.003493070602416992, 0.26000452041625977, 0.04940605163574219]","[9, 8, 7, 0]"
53,b'queen7_7.col',7,1.9972023963928223,5,"[0.011977672576904297, 0.008981943130493164, 0.6866950988769531, 0.8244318962097168, 0.0004978179931640625]","[10, 9, 8, 7, 0]"
54,b'queen8_12.col',12,2.6633195877075195,2,"[0.06088447570800781, 1.2593636512756348]","[13, 12]"
55,b'queen8_8.col',10,611.3925104141235,6,"[0.023453950881958008, 0.020958423614501953, 1.9158577919006348, 7.245226621627808, 0.9392135143280029, 600.0003507137299]","[14, 13, 12, 11, 10, 0]"
56,b'queen9_9.col',12,601.8097395896912,4,"[0.029942989349365234, 0.03393387794494629, 0.17565679550170898, 600.0003216266632]","[14, 13, 12, 0]"
57,b'zeroin.i.1.col',49,610.0528814792633,2,"[1.1390135288238525, 600.0018117427826]","[49, 0]"
58,b'zeroin.i.2.col',30,615.3346066474915,2,"[2.50946307182312, 600.0023853778839]","[30, 0]"
