,0,1,2,3,4,5
47,b'queen13_13.col',16,627.9793930053711,7,"[0.28595471382141113, 1.6972763538360596, 1.8519794940948486, 2.22127628326416, 2.4129130840301514, 3.965459108352661, 600.5963182449341]","[21, 20, 19, 18, 17, 16, 0]"
48,b'queen14_14.col',17,655.0376167297363,6,"[0.37143826484680176, 0.14223265647888184, 2.6766934394836426, 2.8492400646209717, 29.302789449691772, 600.7541563510895]","[21, 20, 19, 18, 17, 0]"
49,b'queen15_15.col',18,767.9554851055145,4,"[0.5026743412017822, 3.0898449420928955, 142.6363115310669, 600.9800617694855]","[20, 19, 18, 0]"
50,b'queen16_16.col',19,777.4733040332794,6,"[0.6924707889556885, 3.3904170989990234, 0.2696225643157959, 9.540812969207764, 121.68414568901062, 600.6206464767456]","[23, 22, 21, 20, 19, 0]"
51,b'queen5_5.col',5,0.053896427154541016,2,"[0.002992391586303711, 0.0014967918395996094]","[6, 5]"
52,b'queen6_6.col',7,0.5063822269439697,4,"[0.004990339279174805, 0.002994060516357422, 0.257509708404541, 0.049906015396118164]","[9, 8, 7, 0]"
53,b'queen7_7.col',7,2.00344181060791,5,"[0.01447296142578125, 0.008481740951538086, 0.7770209312438965, 0.6676774024963379, 0.0004982948303222656]","[10, 9, 8, 7, 0]"
54,b'queen8_12.col',12,5.243176698684692,2,"[0.04042220115661621, 3.8862571716308594]","[13, 12]"
55,b'queen8_8.col',9,670.9089810848236,7,"[0.017465829849243164, 0.0219573974609375, 0.8184413909912109, 0.8658533096313477, 1.0413308143615723, 66.90034317970276, 600.0017721652985]","[14, 13, 12, 11, 10, 9, 0]"
56,b'queen9_9.col',11,605.0891456604004,5,"[0.028448104858398438, 0.06986808776855469, 0.2001204490661621, 2.8625574111938477, 600.0503838062286]","[14, 13, 12, 11, 0]"
57,b'zeroin.i.1.col',49,611.9162957668304,2,"[1.1697750091552734, 602.1024544239044]","[49, 0]"
58,b'zeroin.i.2.col',30,617.9329354763031,2,"[2.1998190879821777, 602.0686616897583]","[30, 0]"
59,b'zeroin.i.3.col',30,618.977472782135,2,"[2.259204387664795, 602.1439776420593]","[30, 0]"
